number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
32,0.7728677761123282,2025-12-27 17:09:40.824755,2025-12-27 17:09:45.005023,0 days 00:00:04.180268,0.5788991872827377,0.7288026919144478,0.02698165433668849,9,2,201,0.2183987263860797,1.4596474028247443e-07,0.832349021051419,COMPLETE
33,0.7751278207936803,2025-12-27 17:09:45.006058,2025-12-27 17:09:48.138147,0 days 00:00:03.132089,0.6745803633302142,1.191031703619533,0.05581267639919241,8,3,292,0.0139347426073849,0.00040047091916528213,0.8957095265869072,COMPLETE
34,0.7756928516734811,2025-12-27 17:09:48.139499,2025-12-27 17:09:53.640806,0 days 00:00:05.501307,0.7450148561674121,0.27448186970793,0.06925330183316974,11,4,322,0.046976550032676756,0.003181319652809102,0.83576089515619,COMPLETE
35,0.7771364318579815,2025-12-27 17:09:53.641354,2025-12-27 17:09:58.640477,0 days 00:00:04.999123,0.8321548763488195,0.358306245692866,0.06811793438936543,11,4,394,0.028084672554982145,0.004759053266393818,0.9484216671291829,COMPLETE
36,0.7715492721788122,2025-12-27 17:09:58.641070,2025-12-27 17:10:03.853570,0 days 00:00:05.212500,0.8255198930029733,0.2977264318963738,0.07051582062183251,12,5,456,0.0009011270394551081,0.006099752797129139,0.9519997846269725,COMPLETE
37,0.7722397734988534,2025-12-27 17:10:03.854038,2025-12-27 17:10:06.566700,0 days 00:00:02.712662,0.8679417283263793,0.8163386853329138,0.09524117496766656,10,4,382,3.9837678523509336e-05,0.004655495527803036,0.9677211443865684,COMPLETE
38,0.767845213704778,2025-12-27 17:10:06.566854,2025-12-27 17:10:08.332320,0 days 00:00:01.765466,0.7966618951527228,2.1727046409856023,0.13440516622975235,11,4,411,0.0060143985201724474,0.09063410593645108,0.8981126037713356,COMPLETE
39,0.7740602183217196,2025-12-27 17:10:08.332568,2025-12-27 17:10:14.011226,0 days 00:00:05.678658,0.9284635067075873,0.3134558883585014,0.0639269050934386,12,5,445,1.6993219298047724,1.0345540848947784e-06,0.9404892752042728,COMPLETE
40,0.7550382609946775,2025-12-27 17:10:14.012179,2025-12-27 17:10:15.954090,0 days 00:00:01.941911,0.7492931983937297,1.2580961523706784,0.03358934740965269,4,8,375,0.034247107230391795,0.000180034687209431,0.9963428608867353,COMPLETE
41,0.775755429217899,2025-12-27 17:10:15.954294,2025-12-27 17:10:22.597427,0 days 00:00:06.643133,0.5581569764539639,0.21451366920334472,0.05261251966890694,11,4,326,0.080181512042241,0.0008615457101752907,0.7974767435303964,COMPLETE
42,0.7714236637723321,2025-12-27 17:10:22.598621,2025-12-27 17:10:27.581945,0 days 00:00:04.983324,0.5581593747256876,0.3427985477720644,0.08652977339451122,11,4,325,0.04949123954108424,0.019616296663014312,0.7490104191783584,COMPLETE
43,0.775001936454721,2025-12-27 17:10:27.582401,2025-12-27 17:10:33.439949,0 days 00:00:05.857548,0.8302753934257684,0.24175597805856086,0.06187901197576012,10,5,359,0.0050343901975462855,0.001032100694586491,0.8552256963624606,COMPLETE
44,0.7564823733346736,2025-12-27 17:10:33.440500,2025-12-27 17:10:35.122625,0 days 00:00:01.682125,0.605918357974961,4.301194397249982,0.0538548989953387,11,4,398,2.0026306758513206,6.097853593802986e-05,0.7828648558493769,COMPLETE
45,0.7742486999145595,2025-12-27 17:10:35.122762,2025-12-27 17:10:39.617157,0 days 00:00:04.494395,0.6383212681147785,0.6174964680076387,0.0706484393989891,12,6,500,0.58861161751715,0.002791779208363436,0.7951637570154132,COMPLETE
46,0.771298153913166,2025-12-27 17:10:39.617581,2025-12-27 17:10:50.753906,0 days 00:00:11.136325,0.7665718654625475,1.0363636411473167,0.010355805470248385,10,7,476,0.07104109258470172,0.00031315134897272687,0.7154897245662583,COMPLETE
47,0.7685988641436583,2025-12-27 17:10:50.754719,2025-12-27 17:10:56.111472,0 days 00:00:05.356753,0.7349644935625548,0.23807587619234086,0.12141956371321376,9,10,328,0.0001321435804283654,0.01310947092607588,0.6544887904166347,COMPLETE
48,0.772867795821791,2025-12-27 17:10:56.111841,2025-12-27 17:11:06.772976,0 days 00:00:10.661135,0.8036830168041251,0.7907020346421398,0.035651762087092455,12,1,356,0.0009335185499148171,0.07201080259513673,0.9119895233871755,COMPLETE
49,0.7728675987271629,2025-12-27 17:11:06.775472,2025-12-27 17:11:12.055051,0 days 00:00:05.279579,0.9038620100252442,0.18310318040897683,0.09544154404737355,11,6,284,3.5277311375926095,0.00266118447211023,0.8812213215894216,COMPLETE
