id,description_sentiment,host_about_sentiment,name_length,name_upper_ratio,desc_length,desc_word_count
756982,0.9642,0.9915,32,0.15625,483,45
778962,0.6908,0.9778,50,0.1,227,21
789549,0.5267,0.8481,49,0.12244897959183673,188,19
794488,0.75,0.9379,49,0.14285714285714285,319,31
797668,0.91,0.7845,46,0.13043478260869565,284,28
806120,0.6696,0.9161,46,0.15217391304347827,519,52
810931,0.4404,0.8807,48,0.20833333333333334,405,38
815244,0.9095,0.0,41,0.024390243902439025,520,49
816942,0.6249,0.9299,33,0.12121212121212122,373,44
821576,0.9274,0.9552,34,0.029411764705882353,232,23
821991,0.8271,0.9913,35,0.11428571428571428,125,12
873742,0.8271,0.9958,35,0.05714285714285714,122,13
885550,0.9551,0.9866,35,0.14285714285714285,428,41
887573,0.0,0.8402,25,0.16,0,0
888310,0.0,0.5574,38,0.15789473684210525,0,0
906070,0.0,0.8805,35,0.17142857142857143,277,32
918743,0.9567,0.9948,34,0.7058823529411765,485,50
925146,0.5244,0.8999,26,0.038461538461538464,151,17
925170,0.0,0.8999,28,0.03571428571428571,176,16
960642,0.6124,0.9428,49,0.12244897959183673,142,16
962857,0.9514,0.9481,49,0.12244897959183673,506,54
964412,0.0,0.9768,35,0.08571428571428572,0,0
973850,0.4215,0.0,50,0.14,471,48
977917,0.6351,0.9768,48,0.14583333333333334,128,13
977935,0.8356,0.9768,49,0.14285714285714285,499,50
977954,0.6351,0.9768,45,0.13333333333333333,128,13
977963,0.8356,0.9768,49,0.14285714285714285,499,50
977985,0.8356,0.9768,49,0.16326530612244897,499,50
978168,0.8356,0.9768,37,0.13513513513513514,474,50
978187,0.8356,0.9768,50,0.14,499,50
978199,0.8356,0.9768,49,0.14285714285714285,499,50
978275,0.8356,0.9768,45,0.15555555555555556,499,50
978319,0.8356,0.9768,46,0.13043478260869565,499,50
978349,0.8356,0.9768,44,0.13636363636363635,499,50
978368,0.8356,0.9768,31,0.12903225806451613,499,50
980232,0.8356,0.9768,50,0.14,499,50
980406,0.8356,0.9768,36,0.1388888888888889,499,50
992004,0.75,0.98,49,0.1836734693877551,489,48
992009,0.8977,0.98,39,0.6410256410256411,497,55
998231,0.5719,0.9403,34,0.14705882352941177,273,27
1003174,0.0,0.9769,34,0.08823529411764706,0,0
1034805,0.9001,0.99,37,0.21621621621621623,377,37
1037247,0.8303,0.8999,25,0.04,502,50
1063149,0.9118,0.926,32,0.03125,168,18
1066097,-0.5267,0.3612,44,0.13636363636363635,164,17
1072842,0.9859,0.9905,29,0.20689655172413793,494,44
1080319,0.0,0.7906,42,0.14285714285714285,82,8
1080326,-0.296,0.7906,49,0.14285714285714285,178,18
1080335,0.0,0.7906,47,0.14893617021276595,89,10
1081071,0.0,0.7906,47,0.14893617021276595,88,10
1083576,0.9183,0.9726,48,0.14583333333333334,249,28
1109171,0.9522,0.9466,42,0.14285714285714285,517,50
1115516,0.9392,0.9883,34,0.14705882352941177,527,48
1133487,0.75,0.765,34,0.11764705882352941,277,33
1166766,0.9259,0.9876,43,0.16279069767441862,408,43
1167130,0.9465,0.9876,42,0.14285714285714285,299,31
1183323,0.8777,0.75,50,0.12,498,56
1198495,0.5719,0.8834,20,0.15,358,37
1233047,0.882,0.9855,34,0.14705882352941177,246,28
1246698,0.9106,0.5719,43,0.13953488372093023,495,53
1252651,-0.5574,0.9927,33,0.21212121212121213,500,56
1255655,0.8979,0.0,35,0.11428571428571428,388,36
1284694,0.7184,0.9967,29,0.13793103448275862,421,41
1285153,0.8928,0.9917,48,0.14583333333333334,241,22
1301778,0.5242,0.959,44,0.18181818181818182,484,51
1309621,0.778,0.5106,47,0.14893617021276595,478,47
1316496,0.743,0.9792,34,0.17647058823529413,325,38
1339446,0.0,0.8188,44,0.13636363636363635,399,45
1346986,0.974,0.9949,20,0.2,475,45
1347072,0.7906,0.9892,49,0.10204081632653061,328,30
1374898,0.8943,0.9978,46,0.021739130434782608,534,61
1388706,0.9287,0.8205,35,0.17142857142857143,194,23
1393531,0.9727,0.6749,48,0.125,1000,107
1393792,0.7579,0.9643,27,0.1111111111111111,275,31
1399003,0.9423,0.9428,40,0.15,499,54
1399627,0.0,0.0,35,0.08571428571428572,32,4
1402502,0.8392,0.9428,41,0.21951219512195122,260,32
1438332,0.8555,0.9643,32,0.09375,376,43
1471989,0.872,0.979,10,0.2,386,35
1479166,0.9642,0.8622,42,0.0,467,41
1484257,0.6369,0.9908,50,0.12,333,31
1508327,0.6369,0.9908,50,0.2,333,31
1511791,0.6369,0.9908,45,0.1111111111111111,333,31
1511818,0.6369,0.9908,45,0.1111111111111111,333,31
1529799,0.9432,0.969,35,0.14285714285714285,517,60
1570908,0.5106,0.7955,37,0.13513513513513514,490,51
1579303,0.9022,0.0,47,0.0425531914893617,470,50
1589977,0.8402,0.0,26,0.15384615384615385,305,31
1602553,0.8519,0.9967,22,0.13636363636363635,360,41
1629836,0.9617,0.9571,48,0.14583333333333334,500,54
1632229,0.9231,0.9829,45,0.06666666666666667,487,49
1646885,0.893,0.9961,35,0.02857142857142857,499,45
1650100,0.6369,0.9908,50,0.12,333,31
1672059,0.68,0.7088,45,0.06666666666666667,443,45
1688146,0.7506,0.9819,50,0.2,492,67
1696519,0.9738,0.9474,38,0.2631578947368421,500,51
1707839,0.8271,0.9442,47,0.0425531914893617,297,31
1712953,0.3612,0.9908,50,0.12,316,30
1713214,0.6369,0.9908,49,0.16326530612244897,333,31
1713841,0.9814,0.9879,27,0.18518518518518517,477,47
