id,price_normalized,price,price_per_bathroom,price_per_bedroom,price_per_person,beds,accommodates,bedrooms,estimated_revenue_l365d,value_density,bathrooms_numeric,neighbourhood_target_encoded,property_type_frequency,review_to_capacity_ratio,property_type_label,neighbourhood_frequency,host_portfolio_intensity,space_efficiency,host_years,estimated_occupancy_l365d,space_per_person,occupancy_rate,availability_rate,availability_365,review_scores_value,booking_flexibility_score
1038324,0.0956651718983557,75.0,50.0,75.0,37.5,1.0,2,1.0,0.0,1.346666666666667,1.5,1.1305970149253732,0.0393230212936922,50.5,40,0.0269184411410204,2.0,1.0,12.695414099931554,0,0.5,0.4958904109589041,0.5041095890410959,184,4.48,0.032258064516129
609444767380580542,0.1121076233183856,86.0,86.0,43.0,17.2,2.0,5,2.0,11868.0,1.069767441860465,1.0,0.9888888888888888,0.2372940940136601,18.4,18,0.0271193250301325,4.8,1.0,4.024640657084189,138,0.4,0.0465753424657534,0.9534246575342464,348,4.59,0.3333333333333333
47027909,0.2242152466367713,161.0,161.0,161.0,80.5,1.0,2,1.0,0.0,0.0,1.0,1.15,0.0393230212936922,0.0,40,0.0070309361189232,0.5,1.0,7.151266255989048,0,0.5,0.0,1.0,365,4.79,0.03125
25430790,0.1449925261584454,108.0,108.0,113.0,27.0,2.0,4,0.0,26784.0,0.2685185185185185,1.0,1.2087286527514232,0.0068300522298111,7.25,16,0.0264664523905182,0.25,1.0,7.540041067761807,248,0.0,0.0246575342465753,0.9753424657534246,356,4.9,0.03125
1344223349338482352,0.2227204783258595,160.0,160.0,160.0,40.0,2.0,4,1.0,40800.0,0.15,1.0,1.22,0.2494977902772197,6.0,14,0.0025110486139011,24.0,2.0,7.370294318959616,255,0.25,0.9616438356164384,0.0383561643835616,14,4.67,0.03125
1212979724638437002,0.0941704035874439,74.0,74.0,74.0,74.0,1.0,1,1.0,0.0,0.0,1.0,1.4883720930232558,0.0393230212936922,0.0,40,0.00863800723182,3.0,1.0,8.375085557837098,0,1.0,0.0191780821917808,0.9808219178082191,358,4.79,0.03125
1034354206197585406,0.2630792227204783,187.0,187.0,187.0,37.4,3.0,5,1.0,47685.0,0.1443850267379679,1.0,1.3214285714285714,0.1206307754118119,5.4,10,0.0028123744475693,0.4,3.0,8.629705681040383,255,0.2,0.4301369863013699,0.5698630136986301,208,4.67,0.032258064516129
11947013,0.116591928251121,89.0,89.0,89.0,44.5,1.0,2,1.0,12460.0,0.449438202247191,1.0,1.2830188679245282,0.2372940940136601,20.0,18,0.0053234230614704,6.5,1.0,12.23545516769336,140,0.5,0.2328767123287671,0.7671232876712328,280,4.78,0.125
932863834283180969,0.1689088191330343,124.0,124.0,124.0,62.0,1.0,2,1.0,15376.0,0.0161290322580645,1.0,0.7333333333333333,0.1206307754118119,1.0,10,0.0037665729208517,12.5,1.0,14.464065708418891,124,0.5,0.0164383561643835,0.9835616438356164,359,5.0,0.03125
10136690,0.2451420029895366,175.0,175.0,175.0,50.0,2.0,2,1.0,12672.0,0.0742857142857142,1.0,0.6785714285714286,0.0393230212936922,6.5,40,0.0028123744475693,0.5,2.0,10.56536618754278,0,0.5,0.0,1.0,365,4.69,0.032258064516129
