price,accommodates,bedrooms,beds,latitude,longitude,city,host_is_superhost,host_identity_verified,host_response_time,host_response_rate,instant_bookable,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,space_efficiency,price_per_bedroom,price_per_bathroom,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_label,property_type_frequency,neighbourhood_frequency,neighbourhood_label,value_category
78.0,1,1.0,1.0,37.76364,-122.42858,San Francisco,0.0,1.0,within an hour,0.83,0,30,60,30,60,90,90,1.0,78.0,78.0,False,True,False,40,0.0393230212936922,0.0138107673764564,14,Excellent_Value
175.0,2,1.0,2.0,37.72377,-122.46962,San Francisco,0.0,1.0,within an hour,1.0,0,30,365,0,0,0,0,2.0,175.0,175.0,True,False,False,12,0.0419847328244274,0.0056247488951386,86,Fair_Value
131.0,2,1.0,1.0,37.79186,-122.42429,San Francisco,1.0,1.0,within an hour,1.0,0,30,95,24,48,78,258,1.0,131.0,131.0,True,False,False,18,0.2372940940136601,0.0075331458417034,93,Excellent_Value
65.0,1,1.0,1.0,37.79373,-122.42507,San Francisco,1.0,1.0,within an hour,1.0,0,30,90,10,40,70,160,1.0,65.0,43.333333333333336,False,True,False,40,0.0393230212936922,0.0075331458417034,93,Excellent_Value
135.0,2,1.0,2.0,37.79337,-122.40198,San Francisco,0.0,0.0,within an hour,1.0,0,30,365,11,22,52,327,2.0,135.0,135.0,True,False,False,10,0.1206307754118119,0.0132583366813981,41,Fair_Value
128.0,2,1.0,1.0,37.79352,-122.42649,San Francisco,1.0,1.0,within an hour,1.0,0,30,180,26,56,86,176,1.0,128.0,128.0,True,False,False,18,0.2372940940136601,0.0075331458417034,93,Excellent_Value
170.0,4,1.0,2.0,37.77927,-122.48432,San Francisco,1.0,1.0,within a few hours,1.0,0,30,365,0,0,29,304,2.0,170.0,170.0,True,False,False,18,0.2372940940136601,0.0093411008437123,90,Fair_Value
120.0,4,1.0,1.0,37.74778,-122.44566,San Francisco,1.0,1.0,within a few hours,1.0,0,30,365,0,1,1,260,1.0,120.0,120.0,True,False,False,18,0.2372940940136601,0.0028123744475693,128,Excellent_Value
127.0,2,1.0,1.0,37.74684,-122.41548,San Francisco,1.0,1.0,within a day,1.0,0,30,90,1,1,31,306,1.0,127.0,127.0,True,False,False,10,0.1206307754118119,0.013057452792286,9,Excellent_Value
175.0,1,1.0,2.0,37.75758,-122.42043,San Francisco,0.0,1.0,within an hour,1.0,0,30,360,0,0,0,0,2.0,175.0,175.0,False,True,False,40,0.0393230212936922,0.0269184411410204,69,Fair_Value
175.0,2,1.0,2.0,37.75674,-122.49178,San Francisco,0.0,1.0,within an hour,1.0,0,60,60,0,0,0,0,2.0,175.0,175.0,False,True,False,37,0.0874849337083165,0.0167738047408597,91,Poor_Value
343.0,9,5.0,4.0,37.73482,-122.41559,San Francisco,1.0,1.0,within an hour,1.0,0,4,29,9,17,47,50,0.8,68.6,171.5,True,False,False,14,0.2494977902772197,0.013057452792286,9,Poor_Value
322.0,4,3.0,4.0,37.77034,-122.43594,San Francisco,0.0,1.0,within a few hours,1.0,0,30,365,0,0,0,124,1.3333333333333333,107.33333333333331,161.0,True,False,False,14,0.2494977902772197,0.0242567296102852,135,Poor_Value
175.0,2,1.0,2.0,37.7422,-122.42996,San Francisco,0.0,1.0,within an hour,1.0,0,2,1125,0,0,0,0,2.0,175.0,175.0,False,True,False,40,0.0393230212936922,0.0116512655685014,77,Fair_Value
263.0,2,1.0,1.0,37.74921,-122.41422,San Francisco,1.0,1.0,within an hour,1.0,1,2,28,0,29,59,60,1.0,263.0,263.0,True,False,False,14,0.2494977902772197,0.0269184411410204,69,Poor_Value
155.0,2,1.0,1.0,37.80284,-122.42839,San Francisco,1.0,1.0,within an hour,1.0,0,30,150,30,30,30,216,1.0,155.0,155.0,False,True,False,40,0.0393230212936922,0.0154178384893531,64,Fair_Value
321.0,2,1.0,1.0,37.75393,-122.42505,San Francisco,1.0,1.0,within an hour,1.0,0,30,1125,0,21,51,141,1.0,321.0,321.0,True,False,False,18,0.2372940940136601,0.0269184411410204,69,Poor_Value
80.0,2,1.0,2.0,37.77585,-122.46413,San Francisco,1.0,1.0,within an hour,1.0,0,30,365,0,0,0,72,2.0,80.0,80.0,True,False,False,14,0.2494977902772197,0.0095419847328244,50,Excellent_Value
175.0,2,1.0,2.0,37.74544,-122.42271,San Francisco,1.0,1.0,within an hour,1.0,0,30,365,0,0,0,0,2.0,175.0,175.0,True,False,False,18,0.2372940940136601,0.013057452792286,9,Fair_Value
42.0,8,1.0,8.0,37.7937,-122.40417,San Francisco,1.0,1.0,within an hour,0.94,1,1,365,30,60,90,271,8.0,42.0,42.0,False,False,True,58,0.0025110486139011,0.0132583366813981,41,Excellent_Value
