price,accommodates,bedrooms,beds,latitude,longitude,host_is_superhost,host_identity_verified,host_response_rate,instant_bookable,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,space_efficiency,price_per_bedroom,price_per_bathroom,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_label,property_type_frequency,neighbourhood_frequency,neighbourhood_label
91.0,2,1.0,1.0,37.7782,-122.46104,1.0,1.0,1.0,0,2,29,21,39,67,342,1.0,91.0,91.0,False,True,False,37,0.0874849337083165,0.0095419847328244,50
327.0,8,2.0,4.0,32.780258,-117.252007,0.0,0.0,0.97,0,3,1000,0,21,46,278,2.0,163.5,163.5,True,False,False,14,0.2494977902772197,0.0850743270389714,70
118.0,4,1.0,2.0,37.80043,-122.40873,0.0,1.0,1.0,0,30,365,0,15,34,34,2.0,118.0,118.0,True,False,False,18,0.2372940940136601,0.0116010445962233,79
236.0,2,1.0,1.0,37.79183,-122.40963,0.0,1.0,0.82,1,1,1125,28,58,88,363,1.0,236.0,236.0,False,False,False,51,0.0708115709120128,0.0180795500200883,76
120.0,4,1.0,1.0,32.714985826543774,-117.13677802208954,0.0,0.0,1.0,0,31,365,21,51,81,356,1.0,120.0,120.0,True,False,False,14,0.2494977902772197,0.0120530333467255,3
130.0,6,3.0,3.0,32.63608165314016,-117.06043674281857,1.0,1.0,1.0,0,2,14,21,47,74,348,1.0,43.333333333333336,130.0,True,False,False,14,0.2494977902772197,0.006478505423865,83
91.0,2,1.0,1.0,32.76476,-117.13555,1.0,1.0,1.0,0,1,29,11,11,26,26,1.0,91.0,91.0,True,False,False,13,0.0311872237846524,0.0276717557251908,82
207.0,8,3.0,3.0,32.7571066,-117.1398487,1.0,0.0,1.0,0,2,30,10,30,47,298,1.0,69.0,103.5,True,False,False,14,0.2494977902772197,0.0078344716753716,133
136.0,4,1.0,1.0,32.78608,-117.10822,1.0,1.0,1.0,0,31,1125,0,0,5,280,1.0,136.0,136.0,True,False,False,10,0.1206307754118119,0.0033145841703495,47
100.0,2,0.0,1.0,32.75957,-117.13984,1.0,1.0,1.0,0,3,1125,7,7,7,7,1.0,113.0,100.0,True,False,False,13,0.0311872237846524,0.0078344716753716,133
315.0,6,2.0,3.0,32.78373,-117.2536,1.0,1.0,1.0,1,7,1125,0,9,29,191,1.5,157.5,315.0,True,False,False,10,0.1206307754118119,0.0850743270389714,70
270.0,8,4.0,4.0,32.8309937,-117.2752367,1.0,1.0,1.0,1,1,365,16,37,62,337,1.0,67.5,90.0,True,False,False,14,0.2494977902772197,0.040980313378867,55
175.0,7,4.0,2.0,37.74915,-122.42992,0.0,1.0,1.0,0,3,28,0,0,0,0,0.5,43.75,70.0,True,False,False,14,0.2494977902772197,0.0116512655685014,77
383.0,6,3.0,3.0,37.75363872090762,-122.42355056115822,0.0,1.0,1.0,1,2,90,2,13,13,13,1.0,127.66666666666669,383.0,True,False,False,14,0.2494977902772197,0.0269184411410204,69
191.0,4,2.0,3.0,37.74485,-122.50806,1.0,0.0,1.0,1,30,1125,0,5,7,156,1.5,95.5,95.5,True,False,False,14,0.2494977902772197,0.006578947368421,97
117.0,2,1.0,1.0,37.74278,-122.43433,1.0,1.0,1.0,0,2,7,18,48,65,154,1.0,117.0,117.0,False,True,False,37,0.0874849337083165,0.0116512655685014,77
243.0,5,3.0,3.0,32.62496,-116.95978,0.0,1.0,0.0,0,30,1125,30,60,90,90,1.0,81.0,97.2,True,False,False,14,0.2494977902772197,0.0025612695861791,88
212.0,2,1.0,3.0,37.76931,-122.43818,0.0,1.0,1.0,0,30,50,29,59,89,89,3.0,212.0,212.0,True,False,False,18,0.2372940940136601,0.0124045801526717,48
471.0,8,3.0,8.0,32.7438073,-117.2508706,0.0,1.0,1.0,0,1,28,22,36,55,175,2.6666666666666665,157.0,235.5,True,False,False,14,0.2494977902772197,0.0295299316994777,85
351.0,10,5.0,8.0,37.77879,-122.50102,1.0,1.0,1.0,0,30,90,0,29,59,334,1.6,70.2,100.28571428571428,True,False,False,14,0.2494977902772197,0.0093411008437123,90
210.0,4,2.0,2.0,37.77987,-122.45341,0.0,1.0,1.0,0,30,1125,4,29,59,334,1.0,105.0,210.0,True,False,False,14,0.2494977902772197,0.0095419847328244,50
221.0,6,3.0,3.0,32.7193974,-117.2541532,0.0,1.0,1.0,1,2,365,9,20,39,296,1.0,73.66666666666667,73.66666666666667,True,False,False,14,0.2494977902772197,0.0031137002812374,136
69.0,2,1.0,1.0,32.7948,-117.13875,0.0,1.0,1.0,0,1,29,24,54,84,256,1.0,69.0,69.0,False,True,False,37,0.0874849337083165,0.0061269586179188,114
353.0,2,1.0,1.0,37.77709100000001,-122.419341,0.0,1.0,1.0,1,31,1125,0,0,0,100,1.0,353.0,353.0,True,False,False,18,0.2372940940136601,0.06046605062274,29
105.0,3,1.0,2.0,37.73008,-122.42094,1.0,0.0,1.0,0,2,15,0,0,0,18,2.0,105.0,105.0,True,False,False,12,0.0419847328244274,0.0080353555644837,40
